Configuration	H2H
STM32CubeMX 	4.15.0
Date	06/10/2016
MCU	STM32L162VDTx



PERIPHERALS	MODES	FUNCTIONS	PINS
3	PE4	GPIO_EXTI4	CHRG_PG
4	PE5	GPIO_EXTI5	CHRG_CHG
5	PE6-WKUP3	GPIO_EXTI6	CHRG_JACK_DET
7	PC13-WKUP2	GPIO_Analog	NC
8	PC14-OSC32_IN	RCC_OSC32_IN	X2_P
9	PC15-OSC32_OUT	RCC_OSC32_OUT	X2_N
12	PH0-OSC_IN	RCC_OSC_IN	X1_P
13	PH1-OSC_OUT	RCC_OSC_OUT	X1_N
15	PC0	GPIO_Analog	NC
16	PC1	GPIO_Analog	NC
17	PC2	GPIO_Output	VDD_AFE_D_EN
18	PC3	GPIO_Output	VDD_AFE_A_EN
23	PA0-WKUP1	GPIO_EXTI0	SYS_WKUP
24	PA1	GPIO_EXTI1	AFE_DRDY
25	PA2	GPIO_Output	AFE_RESET
26	PA3	GPIO_Output	AFE_START
29	PA4	GPIO_Output	AFE_CS
30	PA5	SPI1_SCK	AFE_SCLK
31	PA6	SPI1_MISO	AFE_DOUT
32	PA7	SPI1_MOSI	AFE_DIN
33	PC4	GPIO_Analog	NC
34	PC5	GPIO_Output	VDD_SCREEN_EN
35	PB0	TIM3_CH3	UI_BUZZER
36	PB1	GPIO_Analog	NC
37	PB2	GPIO_Input	BOOT1
38	PE7	FSMC_D4	
39	PE8	FSMC_D5	
40	PE9	FSMC_D6	
41	PE10	FSMC_D7	
42	PE11	FSMC_D8	
43	PE12	FSMC_D9	
44	PE13	FSMC_D10	
45	PE14	FSMC_D11	
46	PE15	FSMC_D12	
47	PB10	GPIO_EXTI10	TP_BUSY
48	PB11	GPIO_EXTI11	TP_PEN
51	PB12	GPIO_Output	TP_CS
52	PB13	SPI2_SCK	TP_SCLK
53	PB14	SPI2_MISO	TP_MISO
54	PB15	SPI2_MOSI	TP_MOSI
55	PD8	FSMC_D13	
56	PD9	FSMC_D14	
57	PD10	FSMC_D15	
58	PD11	FSMC_A16	
59	PD12	GPIO_Output	UI_BACKLIGHT
60	PD13	GPIO_Analog	NC
61	PD14	FSMC_D0	
62	PD15	FSMC_D1	
63	PC6	GPIO_Output	VDD_RF_PW_EN
64	PC7	GPIO_Output	VDD_RF_IO_EN
65	PC8	GPIO_Analog	NC
66	PC9	GPIO_Output	nSHUTD
67	PA8	RCC_MCO	BT_SLOW_CLK
68	PA9	USART1_TX	BT_TX
69	PA10	USART1_RX	BT_RX
70	PA11	USART1_CTS	BT_CTS
71	PA12	USART1_RTS	BT_RTS
72	PA13	SYS_JTMS-SWDIO	
73	PH2	GPIO_Analog	NC
76	PA14	SYS_JTCK-SWCLK	
77	PA15	SYS_JTDI	
78	PC10	GPIO_Output	UI_LED_R
79	PC11	GPIO_Output	UI_LED_G
80	PC12	GPIO_Output	UI_LED_B
81	PD0	FSMC_D2	
82	PD1	FSMC_D3	
83	PD2	GPIO_Analog	NC
84	PD3	GPIO_Analog	NC
85	PD4	FSMC_NOE	
86	PD5	FSMC_NWE	
87	PD6	GPIO_Analog	NC
88	PD7	FSMC_NE1	
89	PB3	SYS_JTDO-TRACESWO	
90	PB4	SYS_JTRST	
91	PB5	GPIO_Analog	NC
92	PB6	I2C1_SCL	FG_SCL
93	PB7	I2C1_SDA	FG_SDA
95	PB8	GPIO_Analog	NC
96	PB9	GPIO_Analog	NC
97	PE0	GPIO_Analog	NC
98	PE1	GPIO_Analog	NC



SOFTWARE PROJECT

Project Settings : 
Project Name : H2H
Project Folder : C:\Users\slopez\workspace\github\tiic-2015\code\v3.0 PersimmonOS\H2H
Toolchain / IDE : EWARM
Firmware Package Name and Version : STM32Cube FW_L1 V1.5.0


Code Generation Settings : 
STM32Cube Firmware Library Package : Copy all used libraries into the project folder
Generate peripheral initialization as a pair of '.c/.h' files per IP : Yes
Backup previously generated files when re-generating : No
Delete previously generated files when not re-generated : Yes
Set all free pins as analog (to optimize the power consumption) : No


Toolchains Settings : 
Compiler Optimizations : Balanced Size/Speed






